Timestamp;Sum;Avg;Min;Max;Median
1462211178;67428.0;1105.377049180328;1030.0;1190.0;1111.0
1462211239;68472.0;1122.4918032786886;1042.0;1212.0;1120.0
1462211300;68219.0;1118.344262295082;1006.0;1187.0;1121.0
1462211361;67790.0;1111.311475409836;849.0;1200.0;1112.0
1462211422;67573.0;1107.7540983606557;828.0;1221.0;1128.0
1462211483;64208.0;1052.5901639344263;838.0;1144.0;1072.0
1462211544;65721.0;1077.3934426229507;926.0;1152.0;1085.0
1462211605;68725.0;1126.639344262295;1036.0;1203.0;1127.0
1462211666;68013.0;1114.967213114754;864.0;1197.0;1118.0
1462211727;69579.0;1140.639344262295;1001.0;1222.0;1146.0
1462211788;68105.0;1116.4754098360656;722.0;1224.0;1125.0
1462211849;67280.0;1102.950819672131;912.0;1176.0;1111.0
1462211910;67937.0;1113.72131147541;804.0;1202.0;1128.0
1462211971;65692.0;1076.9180327868853;912.0;1198.0;1082.0
1462212032;68440.0;1121.967213114754;581.0;1191.0;1135.0
1462212093;68385.0;1121.0655737704917;834.0;1195.0;1136.0
1462212154;66892.0;1096.5901639344263;587.0;1218.0;1116.0
1462212215;68767.0;1127.327868852459;992.0;1201.0;1129.0
1462212276;68329.0;1120.1475409836066;939.0;1186.0;1126.0
1462212337;66197.0;1085.1967213114754;392.0;1180.0;1111.0
1462212398;66979.0;1098.016393442623;917.0;1202.0;1101.0
1462212459;66459.0;1089.4918032786886;912.0;1181.0;1093.0
1462212520;66175.0;1084.8360655737704;242.0;1192.0;1110.0
1462212581;67517.0;1106.8360655737704;897.0;1193.0;1110.0
1462212642;66198.0;1085.2131147540983;819.0;1208.0;1087.0
1462212703;66010.0;1082.1311475409836;30.0;1208.0;1112.0
1462212764;69159.0;1133.7540983606557;922.0;1197.0;1143.0
1462212825;70009.0;1147.688524590164;1042.0;1217.0;1148.0
1462212886;69972.0;1147.0819672131147;859.0;1215.0;1156.0
1462212947;39072.0;1085.3333333333333;43.0;1208.0;1138.5
